Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"77,1","76,7","77,1","77,1","76,8",,,,"77,1","76,7","0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,"75,8","75,7","75,6","75,8","76,3",,,,"76,3","75,6","0,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"75,9","75,5","75,9","75,9","75,5",,,,"75,9","75,5","0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,77,"76,8","76,8","76,5",77,,,,77,"76,5","0,5"
УЗЕ Бар БЕСС,3.1,✓ OK,"76,4","76,6","76,8","76,4","76,5",,,,"76,8","76,4","0,4"
УЗЕ Бар БЕСС,3.2,✓ OK,"77,2","77,1","77,1","77,1","77,1",,,,"77,2","77,1","0,1"
УЗЕ Бар БЕСС,4.1,✓ OK,"77,4","77,6","76,8","77,3","77,2",,,,"77,6","76,8","0,8"
УЗЕ Бар БЕСС,4.2,✓ OK,"75,2","75,7","75,2","76,2",76,,,,"76,2","75,2",1
УЗЕ Бар БЕСС,5.1,✓ OK,"77,3","77,5","76,9","77,1","77,1",,,,"77,5","76,9","0,6"
УЗЕ Бар БЕСС,5.2,✓ OK,76,"76,4","76,8","77,6","76,8",,,,"77,6",76,"1,6"
УЗЕ Бар БЕСС,6.1,✓ OK,"77,1","76,2","76,7","76,6","76,3",,,,"77,1","76,2","0,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"75,9","76,3","76,3","76,3","76,3",,,,"76,3","75,9","0,4"
УЗЕ Бар БЕСС,7.1,✓ OK,"76,7","76,9","76,9","76,4","76,5",,,,"76,9","76,4","0,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"76,8","76,8","76,8","76,8","77,2",,,,"77,2","76,8","0,4"
УЗЕ Бар БЕСС,8.1,✓ OK,"76,1","75,6","76,1",76,"75,7",,,,"76,1","75,6","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"76,5","76,4","76,1","76,5","75,7",,,,"76,5","75,7","0,8"
УЗЕ Бар БЕСС,9.1,✓ OK,"75,9","76,5",76,"76,1","76,1",,,,"76,5","75,9","0,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"77,1","77,2","77,2","77,6","77,7",,,,"77,7","77,1","0,6"
УЗЕ Бар БЕСС,10.1,✓ OK,63,62,63,,,,,,63,62,1
УЗЕ Бар БЕСС,10.2,✓ OK,63,62,63,,,,,,63,62,1
УЗЕ Бар БЕСС,11.1,✓ OK,61,62,63,,,,,,63,61,2
УЗЕ Бар БЕСС,11.2,✓ OK,63,63,63,,,,,,63,63,0
