Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"90,8","84,5","92,2","91,6","91,4",,"92,2","84,5","7,7"
УЗЕ Бар БЕСС,1.2,✓ OK,"88,1","82,1","87,3","93,1","95,9",,"95,9","82,1","13,8"
УЗЕ Бар БЕСС,2.1,✓ OK,89,"86,5","88,9","93,1",86,,"93,1",86,"7,1"
УЗЕ Бар БЕСС,2.2,✓ OK,"95,5","90,8","89,6","81,3","92,2",,"95,5","81,3","14,2"
УЗЕ Бар БЕСС,3.1,✓ OK,"86,1","84,9","94,4","87,5","98,1",,"98,1","84,9","13,2"
УЗЕ Бар БЕСС,3.2,✓ OK,"89,2","89,9","89,5","90,5","91,6",,"91,6","89,2","2,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"90,1","95,8","81,7","87,3",93,,"95,8","81,7","14,1"
УЗЕ Бар БЕСС,4.2,✓ OK,"87,2","89,4","84,5","90,8","91,4",,"91,4","84,5","6,9"
УЗЕ Бар БЕСС,5.1,✓ OK,"92,4","93,5","85,7",91,"89,3",,"93,5","85,7","7,8"
УЗЕ Бар БЕСС,5.2,✓ OK,"85,7",90,91,"99,3","81,8",,"99,3","81,8","17,5"
УЗЕ Бар БЕСС,6.1,✓ OK,"88,4",86,"91,1","91,8","89,8",,"91,8",86,"5,8"
УЗЕ Бар БЕСС,6.2,✓ OK,"86,7","93,1","86,9","93,4","95,9",,"95,9","86,7","9,2"
УЗЕ Бар БЕСС,7.1,✓ OK,"89,7","90,5","92,5","88,6",88,,"92,5",88,"4,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"92,6","92,1","92,3","89,6","84,8",,"92,6","84,8","7,8"
УЗЕ Бар БЕСС,8.1,✓ OK,"85,8","89,2","87,8","96,9","84,6",,"96,9","84,6","12,3"
УЗЕ Бар БЕСС,8.2,✓ OK,"89,1","90,5","94,2","91,4","77,8",,"94,2","77,8","16,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"77,9","94,4","88,2","91,9","90,5",,"94,4","77,9","16,5"
УЗЕ Бар БЕСС,9.2,✓ OK,"89,8","91,8","92,4","93,7","83,4",,"93,7","83,4","10,3"
УЗЕ Бар БЕСС,10.1,✓ OK,72,71,71,,,,72,71,1
УЗЕ Бар БЕСС,10.2,✓ OK,72,71,72,,,,72,71,1
УЗЕ Бар БЕСС,11.1,✓ OK,72,71,72,,,,72,71,1
УЗЕ Бар БЕСС,11.2,✓ OK,72,71,71,,,,72,71,1
УЗЕ Бар БЕСС,12.1,✓ OK,72,72,71,,,,72,71,1
УЗЕ Бар БЕСС,12.2,✓ OK,72,71,72,,,,72,71,1
УЗЕ Бар БЕСС,13.1,✓ OK,72,72,72,,,,72,72,0
УЗЕ Бар БЕСС,13.2,✓ OK,72,72,71,,,,72,71,1
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,3","91,5","88,1","85,6",87,,"91,5","85,6","5,9"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,8","92,8","81,2","85,6",89,,"92,8","81,2","11,6"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,6","85,6","86,3","87,2","86,2",,"87,2","85,6","1,6"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"87,5","86,5","88,1","86,5","86,5",,"88,1","86,5","1,6"
