Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"82,9","82,9","82,9","82,9","82,5",,,"82,9","82,5","0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,83,83,"83,1","83,3","83,7",,,"83,7",83,"0,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,8","82,8","82,9",83,"82,6",,,83,"82,6","0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"83,7","83,7","83,7","83,2","83,9",,,"83,9","83,2","0,7"
УЗЕ Бар БЕСС,3.1,✓ OK,"82,6","82,8","82,7","82,5","82,7",,,"82,8","82,5","0,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,3","83,3",83,"83,3","83,2",,,"83,3",83,"0,3"
УЗЕ Бар БЕСС,4.1,✓ OK,83,83,"82,7","82,8","82,8",,,83,"82,7","0,3"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,4","82,3","82,3",83,"82,8",,,83,"82,3","0,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"83,4","83,4",83,"83,4",83,,,"83,4",83,"0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"83,8","83,6","84,1","84,4","83,9",,,"84,4","83,6","0,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,6","82,5",83,"82,6","82,8",,,"83,6","82,5","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"81,8","82,3","81,8","82,2","83,7",,,"83,7","81,8","1,9"
УЗЕ Бар БЕСС,7.1,✓ OK,"82,8",83,"82,9","82,9","83,1",,,"83,1","82,8","0,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"83,3","83,1",83,"82,8","82,9",,,"83,3","82,8","0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"81,6",82,"81,8","81,8","81,5",,,82,"81,5","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"81,1","81,1","81,5","81,8","80,5",,,"81,8","80,5","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,82,82,"82,2","82,2","82,1",,,"82,2",82,"0,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"83,6","83,6","83,6","83,7","83,8",,,"83,8","83,6","0,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,42,42,43,,,,,43,42,1
УЗЕ Бар БЕСС,11.2,✓ OK,42,42,43,,,,,43,42,1
УЗЕ Бар БЕСС,12.1,✓ OK,42,42,43,,,,,43,42,1
УЗЕ Бар БЕСС,12.2,✓ OK,43,43,43,,,,,43,43,0
УЗЕ Бар БЕСС,13.1,✓ OK,42,42,42,,,,,42,42,0
УЗЕ Бар БЕСС,13.2,✓ OK,42,42,42,,,,,42,42,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"91,7","97,8","93,8","90,4","92,4",,,"97,8","90,4","7,4"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"93,4",99,"86,1","90,6","94,6",,,99,"86,1","12,9"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"93,2","91,2","92,2","94,1","92,8",,,"94,1","91,2","2,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"94,2",92,"94,5","91,8","92,4",,,"94,5","91,8","2,7"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","98,9","89,5","99,1","88,7",,,"99,1","88,4","10,7"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"98,1","84,4","94,8","95,4","95,1",,,"98,1","84,4","13,7"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"85,4","82,4","84,1","84,7","81,2",,,"85,4","81,2","4,2"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"82,8","80,5","85,5","84,6","84,6",,,"85,5","80,5",5
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"83,9","82,3","85,6","82,6",84,,,"85,6","82,3","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"81,6","82,8","81,1","81,7",83,,,83,"81,1","1,9"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"85,3","83,1","82,5","87,9","81,8",,,"87,9","81,8","6,1"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"83,2","82,8","81,5","80,8","83,3",,,"83,3","80,8","2,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,77,77,77,77,77,,,77,77,0
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"89,5","73,6",82,"86,4","86,3",,,"89,5","73,6","15,9"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"81,7","93,7","81,1","71,5","81,8",,,"93,7","71,5","22,2"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"83,9","91,3","82,4","75,1","83,8",,,"91,3","75,1","16,2"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"83,5",83,"83,8","85,4","77,2",,,"85,4","77,2","8,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,85,"82,9","84,3","82,6","86,3",,,"86,3","82,6","3,7"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"85,5","84,3","82,9","88,2",80,,,"88,2",80,"8,2"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"86,7","84,3","77,8","82,8","85,9",,,"86,7","77,8","8,9"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"78,6","84,6","87,4","88,3","82,8",,,"88,3","78,6","9,7"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"87,6",85,83,84,"82,2",,,"87,6","82,2","5,4"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"86,7","79,7","89,3","81,2","83,6",,,"89,3","79,7","9,6"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,87,85,87,85,86,,,87,85,2
,,,,,,,,,,,,
,,,,,,,,,,,,
